rowid,product_id,customer_id,price,quantity
104,8972,58516,4277,5
105,7905,59794,542,2
106,6295,86874,2706,2
107,6665,56517,4821,1
108,8851,23457,4612,3
109,6713,26624,1705,1
110,6860,8700,867,5
111,6808,57569,4543,2
112,8230,15972,3992,5
113,6963,81525,3314,1
114,8458,20992,4500,3
115,6630,35148,808,1
116,8254,35706,3109,5
117,8682,8237,2348,4
118,5988,63757,1060,1
119,7200,51795,4159,5
120,7719,23610,1636,2
121,7488,79598,3500,1
122,8851,85200,4612,4
123,8399,71466,2521,2
124,7414,36555,2368,4
125,7235,9599,2940,1
126,8867,43886,1358,3
127,6664,68648,3995,4
128,7232,18330,3797,1
129,8587,83612,4444,5
130,6675,62980,2210,4
131,6345,43720,4844,4
132,7696,10298,2753,3
133,8961,46592,3819,4
134,8317,59324,4412,5
135,6578,54176,1177,4
136,6862,88765,2248,1
137,7671,20918,253,5
138,6461,29666,1719,3
139,8268,47354,1509,5
140,7349,17061,3104,5
141,8575,89346,2990,5
142,5712,4188,3491,1
143,6648,5344,2262,1
144,8099,31630,4913,1
145,6458,13199,1619,4
146,7656,55488,4914,2
147,7208,84435,1424,3
148,7500,32778,2510,5
149,8463,69405,4534,5
150,6069,29024,360,1
151,5932,2141,4604,5
152,8066,33197,400,3
153,7472,49459,4840,5
154,6687,57133,450,2
155,7523,64466,4101,2
156,7956,70470,4240,2
157,7219,11772,243,2
158,8660,71715,4416,4
159,7968,89501,913,5
160,8164,64544,383,4
161,5979,27180,498,2
162,8537,37288,1618,5
163,6343,54735,4999,1
164,6821,50030,4364,5
165,8444,12610,457,1
166,8467,25397,4768,3
167,7588,49676,4280,2
168,7051,77831,1149,4
169,7852,76253,3612,4
170,7113,50338,379,3
171,8899,9942,1823,2
172,7009,51159,1270,4
173,8628,1372,1896,5
174,8766,15369,1661,3
175,6510,33812,168,1
176,7712,16601,4859,1
177,7598,12634,2283,2
178,8136,61097,2242,1
179,6312,31940,4729,3
180,8002,41742,2593,2
181,8133,50234,129,5
182,6697,75062,754,1
183,7591,32913,1021,2
184,6969,80845,4436,2
185,7584,19301,190,5
186,6436,40583,3024,5
187,6948,16968,4924,2
188,6722,88608,3003,4
189,7030,57923,4790,5
190,6531,39558,3060,5
191,7430,6229,447,1
192,6568,666,3932,1
193,6020,11797,3937,3
194,6978,79414,2452,2
195,8587,19145,4444,5
196,7252,40427,116,1
197,7393,84270,3708,5
198,8665,17942,1945,5
199,6524,58211,1240,2
200,8099,33518,4913,3
201,8414,59396,2706,2
202,6046,24709,1978,4
203,8004,75614,4178,4
204,6902,85459,255,5
205,8003,7962,2909,3
206,6008,74157,927,5
207,8419,10251,3084,3
208,7581,70067,2249,3
209,7097,5617,2433,2
210,6029,22970,4323,1
211,6963,36959,3314,4
212,8646,72691,1439,3
213,5765,44348,2056,5
214,6693,43551,3204,4
215,7452,22007,4605,5
216,7269,36555,4304,4
217,7080,3990,2762,2
218,7384,84132,3953,3
219,6161,10443,4505,3
220,7913,34887,148,3
221,5964,1176,918,5
222,8532,55139,2239,5
223,8458,70551,4500,3
224,6314,2594,4596,1
225,7219,76805,243,4
226,8529,54770,4193,4
227,8188,6049,2587,1
228,6158,982,2319,4
229,7117,50670,568,5
230,8841,67191,1212,4
231,8016,50690,1535,2
232,7820,41455,1807,1
233,8733,15975,109,3
234,5840,75225,1814,2
235,8968,3617,3766,3
236,6510,72435,168,5
237,7464,13248,991,4
238,7556,3443,2083,1
239,5859,42712,4324,3
240,8790,49464,643,2
241,7249,32581,1221,5
242,8786,60566,4186,4
243,7323,79862,1657,1
244,6732,30302,4447,5
245,7851,28570,1687,1
246,6758,75182,2827,3
247,8098,68063,1200,4
248,7875,21151,3267,3
249,8947,28878,1817,2
250,7053,4502,563,4
251,5799,34108,4624,4
252,7237,33307,2151,5
253,5957,16471,4663,3
254,8750,76485,712,2
255,8677,247,252,3
256,7841,69401,4545,4
257,6665,37102,4821,3
258,5758,9175,326,5
259,7374,89194,3492,1
260,8913,48238,4189,5
261,7390,84111,3193,1
262,8605,2959,2233,2
263,7131,2023,1400,5
264,7415,63973,814,2
265,6907,34907,3020,4
266,6363,70848,3671,3
267,5997,39909,2555,1
268,8360,66480,1353,3
269,8343,15382,1100,5
270,8718,28858,1821,4
271,6387,82800,3975,2
272,8578,75377,2926,3
273,6727,50716,4579,2
274,7265,81531,579,1
275,5670,34560,2504,1
276,7206,71284,4486,1
277,8988,53867,2606,4
278,7990,70827,3360,3
279,5623,46497,804,2
280,8484,8603,4634,2
281,7794,48959,2716,4
282,8614,71827,3622,3
283,6552,81656,4382,3
284,6368,31860,1036,1
285,8037,12609,1704,5
286,7790,57923,2075,1
287,8431,9300,4232,4
288,8632,62904,2432,1
289,6117,46575,189,5
290,8930,55670,4329,2
291,6625,32062,4920,4
292,8818,26865,1065,5
293,6732,6459,4447,2
294,8145,64001,4860,1
295,6670,72987,3755,3
296,6510,64763,168,4
297,8570,45546,2957,5
298,8810,42692,1377,4
299,6922,41511,3487,5
300,6475,64674,776,3
301,8485,6030,1769,1
302,8727,15856,1902,2
303,7706,51080,1467,5
304,7441,19656,4427,1
305,8303,31536,4297,2
306,5822,61397,4211,5
307,8838,64577,4229,4
308,7077,68393,1792,5
309,8196,38402,4389,2
310,6513,89184,3493,2
311,8727,71881,1902,4
312,7843,62057,1056,5
313,8023,45301,3335,3
